bacteria,eps,adesao,estresse,manosidase,fosfolipase,acido_folico,bacteriocina,sais_biliares,betagalactosidase,tolerancia_gastro,metabolismo_carbono,total_funcoes
Lactobacillus kalixensis,1,1,1,0,0,0,1,0,0,1,1,6
Lactobacillus kefiranofaciens,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus kimbladii,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus kitasatonis,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus kullabergensis,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus laiwuensis,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus leichmannii,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus melliventris,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus mulieris,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus nasalidis,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus panisapium,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus paragasseri,1,1,1,0,0,0,1,0,0,1,1,6
Lactobacillus pasteurii,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus porci,1,1,1,0,0,0,1,0,0,1,1,6
Lactobacillus psittaci,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus rodentium,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus selangorensis,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus taiwanensis,1,1,1,0,0,0,1,0,0,1,1,6
Lactobacillus terrae,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus ultunensis,1,1,1,0,0,0,0,0,0,1,1,5
Lactobacillus xujianguonis,1,1,1,0,0,0,1,0,0,1,1,6
Ligilactobacillus ceti,1,1,1,0,0,0,0,0,0,1,1,5
Ligilactobacillus equi,1,1,1,0,0,0,0,0,0,1,1,5
Ligilactobacillus saerimneri,1,1,1,0,0,0,0,0,0,1,1,5
Prevotella illustrans,1,1,1,0,0,0,0,0,0,0,1,4
Prevotella maculosa,1,1,1,0,0,0,0,0,0,0,1,4
Prevotella marseillensis,1,1,1,0,0,0,0,0,0,0,1,4
Prevotella oris,1,1,1,0,0,0,0,0,0,0,1,4
Prevotella oulorum,1,1,1,0,0,0,0,0,0,0,1,4
Prevotella rara,1,1,1,0,0,0,0,0,0,0,1,4
Prevotella salivae,1,1,1,0,0,0,0,0,0,0,1,4
Ruminococcus albus,1,1,1,0,0,0,0,0,0,0,1,4
Ruminococcus bicirculans,1,1,1,0,0,0,0,0,0,0,1,4
Ruminococcus callidus,1,1,1,0,0,0,0,0,0,0,1,4
